"id","condition","topic.symbolic","mcheck1","mcheck2","Q23_1","anger1","Q23_2","Q23_3","Q23_4","Q23_5","Q23_6","Q23_7","Q23_8","Q23_9","Q23_10","Q23_11","Q23_12","Q23_13","contempt1","disgust1","anger4","anger2","contempt2","disgust2","contempt4","attention.check","anger3","contempt3","disgust3","disgust4","voodoo1","voodoo2","voodoo3","voodoo4","voodoo5","voodoo6","voodoo7","voodoo8","voodoo9","voodoo10","voodoo1 - 0 & 1","voodoo2 - 0 & 1","voodoo3 - 0 & 1","voodoo4 - 0 & 1","voodoo5 - 0 & 1","voodoo6 - 0 & 1","voodoo7 - 0 & 1","voodoo8 - 0 & 1","voodoo9 - 0 & 1","voodoo10 - 0 & 1","tangram.check","tangram.videocheck","tangram.easy.1 (3)","tangram.easy.2","tangram.easy.3","tangram.easy.4","tangram.easy.5","tangram.easy.6","tangram.easy.7","tangram.easy.8","tangram.easy.9","tangram.easy.10","tanrgam.medium.1","tanrgam.medium.2","tanrgam.medium.3","tanrgam.medium.4","tanrgam.medium.5","tanrgam.medium.6","tanrgam.medium.7","tanrgam.medium.8","tanrgam.medium.9","tanrgam.medium.10","tanrgam.hard.1","tanrgam.hard.2","tanrgam.hard.3","tanrgam.hard.4","tanrgam.hard.5","tanrgam.hard.6","tanrgam.hard.7","tanrgam.hard.8","tanrgam.hard.9","tanrgam.hard.10","tangram.easy.1 (3) - 0 & 1","tangram.easy.2 - 0 & 1","tangram.easy.3 - 0 & 1","tangram.easy.4 - 0 & 1","tangram.easy.5 - 0 & 1","tangram.easy.6 - 0 & 1","tangram.easy.7 - 0 & 1","tangram.easy.8 - 0 & 1","tangram.easy.9 - 0 & 1","tangram.easy.10 - 0 & 1","tanrgam.medium.1 - 0 & 1","tanrgam.medium.2 - 0 & 1","tanrgam.medium.3 - 0 & 1","tanrgam.medium.4 - 0 & 1","tanrgam.medium.5 - 0 & 1","tanrgam.medium.6 - 0 & 1","tanrgam.medium.7 - 0 & 1","tanrgam.medium.8 - 0 & 1","tanrgam.medium.9 - 0 & 1","tanrgam.medium.10 - 0 & 1","tanrgam.hard.1 - 0 & 1","tanrgam.hard.2 - 0 & 1","tanrgam.hard.3 - 0 & 1","tanrgam.hard.4 - 0 & 1","tanrgam.hard.5 - 0 & 1","tanrgam.hard.6 - 0 & 1","tanrgam.hard.7 - 0 & 1","tanrgam.hard.8 - 0 & 1","tanrgam.hard.9 - 0 & 1","tanrgam.hard.10 - 0 & 1","topic.realistic","topic.control","sex","age","education","ocupation","religiosity","political.orientation","political.orientation.prog","political.orientation.econ","political.orientation.soc","political.orientation.safe","truthfulness"
369,"control",,1,1,29,2,26,29,26,24,24,29,27,24,29,29,25,26,4,2,4,1,1,2,5,1,2,2,3,4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,,1,2,28.0,4,1,0.38,0.16,0.17,0.17,0.36,-0.17,5
370,"control",,1,1,24,1,24,24,30,24,24,24,27,24,24,24,24,27,1,1,6,1,1,1,5,1,1,1,1,5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,1,,,1,,,1,,,,1,,1,1,,,1,1,,,1,1,,,,,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,,1,2,28.0,3,7,-1.0,-0.79,-0.84,-0.4,-0.9,-1.0,5
371,"realistic",,5,2,29,2,29,29,26,24,24,29,26,24,29,29,29,26,2,2,4,1,1,2,4,1,2,2,2,4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,,,,,,,1,1,1,1,,,,,,,1,1,1,,,,,,,,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,,2,53.0,4,2,-0.82,-0.75,-0.79,-0.71,-0.67,-0.69,5
372,"realistic",,4,5,27,5,26,27,25,25,25,26,25,24,26,25,25,27,4,5,3,3,3,4,3,1,4,3,3,5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,,1,,,1,,1,,1,,,,,1,,,,,,1,,,1,,,1,1,1,,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,2,,2,19.0,3,10,-1.0,-1.0,-0.62,-0.91,-0.76,-0.88,5
373,"control",,2,2,24,1,24,24,30,29,29,29,30,24,24,24,24,30,1,1,6,2,2,2,6,1,1,1,1,6,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,1,,,,1,1,,,1,,1,1,,1,,,,,,,1,1,,,,1,1,,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,0,,2,1,28.0,4,1,-0.96,-0.14,-0.56,-0.24,-0.36,-0.55,5
374,"control",,6,7,27,5,25,25,27,25,27,25,26,24,25,25,25,25,3,3,5,3,5,3,4,1,3,3,3,3,142.0,145.0,,,,,,,,,1,1,0,0,0,0,0,0,0,0,1,1,,,,,1,1,,,1,,1,1,,1,1,,,1,,,,,1,,,,1,,,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,,2,1,29.0,3,1,0.22,0.32,0.5,0.34,0.2,-0.2,5
375,"control",,1,1,24,1,24,24,28,29,24,24,28,24,24,24,24,28,1,1,7,2,1,1,7,1,1,1,1,7,223.0,58.0,,,,,,,,,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,1,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1,1,24.0,4,1,0.88,-0.06,-0.58,-0.54,-0.69,-0.74,5
376,"symbolic",1,7,7,29,2,28,28,24,29,28,30,29,24,29,28,28,24,7,7,1,2,7,6,2,1,2,7,7,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,1,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,,,2,22.0,4,10,-0.73,-1.0,-1.0,-0.81,-1.0,-0.6,5
377,"control",,1,1,24,1,24,24,27,24,24,24,30,24,24,24,24,27,1,1,5,1,1,1,6,1,1,1,1,5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,,,,1,1,1,1,,,,,,,,1,,,,,,,,,,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,1,2,39.0,3,7,-1.0,0.0,-0.08,-0.5,1.0,0.99,5
378,"symbolic",1,2,2,29,2,29,29,26,29,29,29,26,24,29,29,26,29,2,2,4,2,2,2,4,1,2,2,4,2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,1,,,1,,,,,1,,,1,1,1,,1,,,1,,,1,,,1,,1,,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,,,2,49.0,4,4,0.41,-0.66,-0.85,-0.82,-0.64,-0.95,5
379,"symbolic",1,1,4,29,2,29,29,26,24,24,29,26,24,24,24,24,26,2,2,4,1,1,2,4,1,1,1,1,4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,20.0,3,10,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5
380,"control",,1,1,24,1,29,26,26,24,29,26,26,24,24,29,29,26,2,4,4,1,2,4,4,1,1,2,2,4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,,,,1,,,,1,,1,,,1,,1,1,1,,,,,,,,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,,1,2,50.0,3,1,1.0,1.0,1.0,1.0,1.0,1.0,5
381,"realistic",,5,5,29,2,24,29,27,24,29,29,25,24,24,24,24,24,1,2,5,1,2,2,3,1,1,1,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,1,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,,1,45.0,4,1,0.9,0.0,0.0,0.22,0.0,0.47,5
382,"realistic",,7,7,24,1,24,24,24,24,24,28,26,24,24,24,24,24,1,1,1,1,1,7,4,1,1,1,1,1,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,,,,,,,1,1,1,1,,,,,,,1,1,1,,,,,,,,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,3,,1,37.0,4,1,-1.0,-0.23,-0.23,-0.23,-0.23,-0.23,5
383,"control",,1,1,24,1,24,24,30,24,24,24,30,24,24,24,24,27,1,1,6,1,1,1,6,1,1,1,1,5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,1,,,,1,,1,1,1,1,,,,,1,1,,,,,,,1,,1,1,,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,,1,1,20.0,4,11,-0.8,-0.75,-0.9,-0.6,-0.85,-0.9,5
384,"symbolic",1,7,7,29,2,29,26,29,29,25,27,29,24,29,27,29,29,2,4,2,2,3,5,2,1,2,5,2,2,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,,1,,,,,,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,,,2,72.0,4,7,0.72,0.69,0.78,0.43,0.5,0.7,5
385,"control",,1,2,29,2,24,24,27,29,29,24,30,24,29,25,25,27,1,1,5,2,2,1,6,1,2,3,3,5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,,1,1,,1,1,,1,1,,1,,,1,,,1,,,,,,,,,,,,1,1,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,,3,1,33.0,5,1,-0.25,0.12,0.24,0.34,0.28,0.31,5
386,"control",,1,1,24,1,24,24,28,24,24,24,28,24,24,24,24,28,1,1,7,1,1,1,7,1,1,1,1,7,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,2,19.0,3,1,0.64,0.0,0.0,0.0,0.0,0.0,5
387,"control",,1,1,24,1,24,24,28,24,24,24,30,24,24,24,24,30,1,1,7,1,1,1,6,1,1,1,1,6,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,2,43.0,5,2,-0.03,-0.88,-0.25,-0.2,-1.0,-0.5,5
388,"symbolic",1,6,6,25,3,27,25,30,27,30,30,28,24,27,27,25,27,5,3,6,5,6,6,7,1,5,5,3,5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,1,,,,,,,1,,,,,1,,,,,,,1,1,1,,1,1,1,1,,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,,,1,50.0,5,11,1.0,1.0,1.0,1.0,1.0,1.0,5
389,"realistic",,7,6,25,3,27,26,30,28,30,28,30,24,30,25,25,27,5,4,6,7,6,7,6,1,6,3,3,5,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,1,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,1,45.0,5,2,1.0,1.0,1.0,1.0,1.0,1.0,5
390,"symbolic",2,3,3,29,2,26,26,26,24,26,26,26,24,29,26,26,25,4,4,4,1,4,4,4,1,2,4,4,3,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,,1,,1,,,,,,1,1,1,1,1,1,,,,,1,,1,,,,,,,,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,,,2,32.0,4,2,0.17,-0.55,0.17,-0.85,-0.73,-0.73,5
391,"realistic",,7,1,28,7,30,28,24,24,28,28,24,24,29,28,26,24,6,7,1,1,7,7,1,1,2,7,4,1,208.0,211.0,75.0,75.0,,,,,,,1,1,1,1,0,0,0,0,0,0,1,1,,,,,,,,,,,,,,,,1,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,,2,45.0,4,1,0.8,1.0,1.0,1.0,1.0,1.0,5
392,"realistic",,5,6,29,2,25,27,27,29,27,27,27,24,25,29,30,25,3,5,5,2,5,5,5,1,3,2,6,3,135.0,131.0,225.0,63.0,139.0,,,,,,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,,,1,1,,1,,1,,,,1,,,,,,,,,,,,,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,1,50.0,5,1,1.0,-1.0,-1.0,0.65,-1.0,1.0,5
393,"control",,1,1,24,1,24,24,26,24,24,24,26,24,24,24,24,30,1,1,4,1,1,1,4,1,1,1,1,6,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,24.0,4,1,-1.0,-0.31,-1.0,-0.25,-0.82,-1.0,5
394,"symbolic",3,6,7,27,5,27,27,30,24,27,27,24,24,29,27,27,29,5,5,6,1,5,5,1,1,2,5,5,2,45.0,231.0,106.0,178.0,129.0,,,,,,1,1,1,1,1,0,0,0,0,0,1,1,,,,,,,,,,1,1,,1,,,1,1,,,1,,1,,1,1,,,1,1,,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1,1,0,,,2,35.0,4,4,-0.06,-0.74,-0.67,-0.79,-0.65,-0.74,5
395,"symbolic",1,4,3,25,3,29,26,27,29,26,27,26,24,25,27,25,26,2,4,5,2,4,5,4,1,3,5,3,4,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,1,1,1,,,1,,,1,,1,,,,,,1,,,,,1,,,,,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,,1,46.0,5,1,1.0,-1.0,-1.0,-0.64,-1.0,0.75,5
396,"control",,1,1,24,1,24,24,28,24,24,24,28,24,24,24,24,28,1,1,7,1,1,1,7,1,1,1,1,7,160.0,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,1,1,1,,,1,1,,,1,1,,1,,,,,,,1,1,1,,,,,,,,,1,1,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,,1,2,23.0,4,1,1.0,1.0,1.0,1.0,1.0,1.0,5
397,"realistic",,6,3,29,2,30,27,27,29,27,27,29,24,26,26,25,25,6,5,5,2,5,5,2,1,4,4,3,3,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,1,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,3,,1,35.0,4,1,-1.0,0.22,0.27,0.45,0.2,0.44,5
398,"realistic",,6,6,26,4,27,30,29,26,27,27,29,24,24,27,27,29,5,6,2,4,5,5,2,1,1,5,5,2,162.0,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,1,,,,,,,,,,,,1,1,1,1,1,1,,1,1,1,,,,,,,1,,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,2,,1,20.0,3,2,-0.8,0.31,0.34,1.0,-0.12,0.0,5
399,"control",,1,1,24,1,24,24,27,24,24,24,26,24,24,24,24,30,1,1,5,1,1,1,4,1,1,1,1,6,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,1,,,1,1,,1,1,1,1,,,,1,1,,,,1,,,,,,1,,,,,,1,0,0,1,1,0,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,,1,2,25.0,4,10,0.35,0.0,0.5,-0.3,0.7,-0.2,5
